Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM 18K,PLLs and CCCs,Chip Globals,SERDESIF Blocks,SERDESIF Lanes,EPCS,MSS,RCOSC_50MHZ
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBO10/Primitives,0,0,180,180,0,0,5,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBI0ooI.CORETSE_AHBl0ooI/Primitives,95,52,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBIOooI/CORETSE_AHBOil0/Primitives,28,50,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBIOooI/CORETSE_AHBiol0/CORETSE_AHBO01l/Primitives,590,216,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBIOooI/CORETSE_AHBiol0/CORETSE_AHBo01l/Primitives,344,156,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBIOooI/CORETSE_AHBiol0/Primitives,31,89,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBIOooI/CORETSE_AHBlil0/Primitives,111,0,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBIOooI/CORETSE_AHBoil0/Primitives,102,166,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBI01i/Primitives,28,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBI11i/Primitives,41,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBII1i/Primitives,41,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBIO1i/Primitives,41,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBIOoi/Primitives,31,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBIi0i/Primitives,41,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBIi1i/Primitives,12,12,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBIl1i/Primitives,28,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBIo1i/Primitives,28,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBO01i/Primitives,29,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBO11i/Primitives,40,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBOI1i/Primitives,41,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBOO1i/Primitives,40,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBOOoi/Primitives,29,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBOi0i/Primitives,40,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBOi1i/Primitives,35,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBOl1i/Primitives,28,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBOo1i/Primitives,28,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBi01i/Primitives,68,25,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBi11i/Primitives,28,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBiI1i/Primitives,28,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBiO1i/Primitives,29,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBii0i/Primitives,41,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBii1i/Primitives,28,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBil1i/Primitives,28,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBio1i/Primitives,29,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBl01i/Primitives,28,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBl11i/Primitives,41,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBlI1i/Primitives,29,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBlO1i/Primitives,68,25,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBlOoi/Primitives,29,13,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBli0i/Primitives,40,19,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBli1i/Primitives,12,12,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBO0ooI/CORETSE_AHBI1li/CORETSE_AHBll1i/Primitives,29,13,0,0,0,0,0,0,0,0,0,0,0,0
