
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. CoreTSE_Webserver, 5172, 8326, 1456, 0, 0, 14, 0, 27, 23
.	. CoreAHBLite_Z5, 141, 386, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_1_1_0_8_4_4_0_0s, 141, 386, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_0s_0_1_0_0, 46, 98, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_1, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_0s_0_1_0_1, 46, 43, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_8_0s_0_1_0, 28, 38, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 12, 59, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_1, 11, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 9, 148, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4, 7, 21, 0, 0, 0, 0, 0, 0, 0
.	. CoreConfigP_Z6, 92, 50, 0, 0, 0, 0, 0, 0, 0
.	. CoreResetP_Z7, 88, 30, 13, 0, 0, 0, 0, 3, 0
.	. CoreTSE_Webserver_CORETSE_AHB_0_CORETSE_AHB_19s_1s_11s_1s_1s_1s_18s, 4851, 7859, 1443, 0, 0, 14, 0, 15, 0
.	.	. CoreTSE_top_19s_1s_11s_12s_1s_1s_1s_18s, 4851, 7859, 1443, 0, 0, 14, 0, 15, 0
.	.	.	. msgmii_core_0s_18s, 996, 1921, 80, 0, 0, 0, 0, 4, 0
.	.	.	.	. msgmii_clkrst, 4, 2, 0, 0, 0, 0, 0, 2, 0
